Date,Meal,Food,Calories,Protein,Carbs,Fat
2023-10-01,Breakfast,Oatmeal,150,5,27,2.5
2023-10-01,Breakfast,Banana,105,1.3,27,0.4
2023-10-01,Lunch,Chicken Breast,165,31,0,3.6
2023-10-01,Lunch,Brown Rice,216,5,45,1.8
2023-10-01,Lunch,Broccoli,55,3.7,11.2,0.6
2023-10-01,Dinner,Salmon,206,22,0,13
2023-10-01,Dinner,Quinoa,222,8,39,3.6
2023-10-01,Dinner,Spinach,23,2.9,3.6,0.4
2023-10-01,Snack,Greek Yogurt,100,10,6,0
2023-10-02,Breakfast,Egg,78,6.3,0.6,5.3
2023-10-02,Breakfast,Apple,95,0.5,25,0.3
2023-10-02,Lunch,Tuna,144,32,0,1.3
2023-10-02,Lunch,Sweet Potato,112,2,26,0.1
2023-10-02,Lunch,Carrot,41,0.9,9.6,0.2
2023-10-02,Dinner,Beef,250,26,0,17
2023-10-02,Dinner,Potato,77,2,17,0.1
2023-10-02,Dinner,Kale,49,4.3,8.8,0.9
2023-10-02,Snack,Almonds,164,6,6,14
2023-10-03,Breakfast,Greek Yogurt,100,10,6,0
2023-10-03,Breakfast,Strawberries,49,1,11.7,0.5
2023-10-03,Lunch,Chickpeas,286,15,45,6
2023-10-03,Lunch,Tomato,22,1.1,4.8,0.2
2023-10-03,Lunch,Lettuce,15,1.4,2.9,0.2
2023-10-03,Dinner,Tofu,76,8,1.9,4.8
2023-10-03,Dinner,Brown Rice,216,5,45,1.8
2023-10-03,Dinner,Broccoli,55,3.7,11.2,0.6
2023-10-03,Snack,Peanut Butter,188,7.7,6,16
2023-10-04,Breakfast,Oatmeal,150,5,27,2.5
2023-10-04,Breakfast,Blueberries,57,0.7,14.5,0.3
2023-10-04,Lunch,Salmon,206,22,0,13
2023-10-04,Lunch,Quinoa,222,8,39,3.6
2023-10-04,Lunch,Spinach,23,2.9,3.6,0.4
2023-10-04,Dinner,Chicken Breast,165,31,0,3.6
2023-10-04,Dinner,Sweet Potato,112,2,26,0.1
2023-10-04,Dinner,Carrot,41,0.9,9.6,0.2
2023-10-04,Snack,Cottage Cheese,98,11.1,3.4,4.3
2023-10-05,Breakfast,Egg,78,6.3,0.6,5.3
2023-10-05,Breakfast,Orange,62,1.2,15.4,0.2
2023-10-05,Lunch,Lentils,116,9,20,0.4
2023-10-05,Lunch,Bell Pepper,24,0.9,6,0.3
2023-10-05,Lunch,Cucumber,16,0.7,3.6,0.1
2023-10-05,Dinner,Tuna,144,32,0,1.3
2023-10-05,Dinner,Pasta,157,5.8,31,0.9
2023-10-05,Dinner,Kale,49,4.3,8.8,0.9
2023-10-05,Snack,Yogurt,61,3.5,4.7,3.3
2023-10-06,Breakfast,Greek Yogurt,100,10,6,0
2023-10-06,Breakfast,Grapes,69,0.7,18,0.2
2023-10-06,Lunch,Beef,250,26,0,17
2023-10-06,Lunch,Brown Rice,216,5,45,1.8
2023-10-06,Lunch,Broccoli,55,3.7,11.2,0.6
2023-10-06,Dinner,Tempeh,193,19,9,11
2023-10-06,Dinner,Potato,77,2,17,0.1
2023-10-06,Dinner,Tomato,22,1.1,4.8,0.2
2023-10-06,Snack,Cheese,113,7,0.4,9.4
2023-10-07,Breakfast,Oatmeal,150,5,27,2.5
2023-10-07,Breakfast,Banana,105,1.3,27,0.4
2023-10-07,Lunch,Chickpeas,286,15,45,6
2023-10-07,Lunch,Carrot,41,0.9,9.6,0.2
2023-10-07,Lunch,Lettuce,15,1.4,2.9,0.2
2023-10-07,Dinner,Salmon,206,22,0,13
2023-10-07,Dinner,Quinoa,222,8,39,3.6
2023-10-07,Dinner,Spinach,23,2.9,3.6,0.4
2023-10-07,Snack,Avocado,234,2.9,12.8,21.4
