food,category,meal_types,unit_options,default_portion_size,kcal,protein,carbs,fat,health_score
Apple,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",1 piece,95,0.5,25.0,0.3,light
Banana,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",1 piece,105,1.3,27.0,0.4,moderate
Chicken Breast,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,165,31.0,0.0,3.6,moderate
Salmon,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,206,22.0,0.0,13.0,moderate
Brown Rice,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",100g,216,5.0,45.0,1.8,moderate
Broccoli,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,55,3.7,11.2,0.6,light
Spinach,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,23,2.9,3.6,0.4,light
Egg,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",1 piece,78,6.3,0.6,5.3,light
Almonds,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,164,6.0,6.0,14.0,moderate
Milk,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",1 cup,103,8.0,12.0,2.4,moderate
Oatmeal,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",100g,150,5.0,27.0,2.5,moderate
Sweet Potato,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,112,2.0,26.0,0.1,moderate
Quinoa,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",100g,222,8.0,39.0,3.6,moderate
Greek Yogurt,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",250ml,100,10.0,6.0,0.0,light
Avocado,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",1 piece,234,2.9,12.8,21.4,moderate
Tomato,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,22,1.1,4.8,0.2,light
Carrot,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,41,0.9,9.6,0.2,light
Beef,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,250,26.0,0.0,17.0,moderate
Tuna,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,144,32.0,0.0,1.3,moderate
Potato,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,77,2.0,17.0,0.1,light
Strawberries,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",100g,49,1.0,11.7,0.5,light
Blueberries,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",100g,57,0.7,14.5,0.3,light
Orange,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",1 piece,62,1.2,15.4,0.2,light
Grapes,fruit,"['Breakfast', 'Snack']","['Breakfast', 'Snack']",100g,69,0.7,18.0,0.2,light
Peanut Butter,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,188,7.7,6.0,16.0,moderate
Cheese,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,113,7.0,0.4,9.4,moderate
Bread,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",1 piece,79,2.7,15.2,1.0,light
Pasta,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",100g,157,5.8,31.0,0.9,moderate
Rice,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",100g,130,2.7,28.0,0.3,moderate
Lentils,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,116,9.0,20.0,0.4,moderate
Chickpeas,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,286,15.0,45.0,6.0,moderate
Soybeans,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,173,16.6,9.9,9.0,moderate
Tofu,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,76,8.0,1.9,4.8,light
Tempeh,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,193,19.0,9.0,11.0,moderate
Seitan,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,370,75.0,14.0,2.0,heavy
Kale,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,49,4.3,8.8,0.9,light
Lettuce,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,15,1.4,2.9,0.2,light
Cucumber,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,16,0.7,3.6,0.1,light
Bell Pepper,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,24,0.9,6.0,0.3,light
Onion,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,40,1.1,9.3,0.1,light
Garlic,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,149,6.4,33.0,0.5,moderate
Ginger,veg,"['Lunch', 'Dinner', 'Snack']","['Lunch', 'Dinner', 'Snack']",100g,80,1.8,17.8,0.8,light
Turmeric,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,312,7.8,67.1,9.9,heavy
Cinnamon,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,247,4.0,80.6,1.2,moderate
Honey,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,304,0.3,82.4,0.0,heavy
Maple Syrup,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,260,0.0,67.0,0.0,moderate
Olive Oil,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,119,0.0,0.0,13.5,moderate
Coconut Oil,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,117,0.0,0.0,13.5,moderate
Butter,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,102,0.1,0.0,11.5,moderate
Yogurt,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",250ml,61,3.5,4.7,3.3,light
Cottage Cheese,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",250ml,98,11.1,3.4,4.3,light
Roti,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",1 piece,297,12.6,56.0,3.7,moderate
Chapati,grain,"['Breakfast', 'Lunch', 'Dinner']","['Breakfast', 'Lunch', 'Dinner']",1 piece,297,12.6,56.0,3.7,moderate
Dal,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,116,9.0,20.0,0.4,moderate
Dal Tadka,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,130,10.5,22.0,2.5,moderate
Chana Masala,other,"['Breakfast', 'Lunch', 'Dinner', 'Snack']","['Breakfast', 'Lunch', 'Dinner', 'Snack']",100g,164,7.6,27.0,4.5,moderate
